,num,plain,jit,cython
0,1.0,2.3141998099163175e-05,7.171800825744868e-06,2.1359883248806e-07
1,2.0,1.3994600158184766e-05,5.209603114053607e-06,1.3560056686401367e-07
2,3.0,1.5381997218355537e-05,5.185202462598682e-06,1.60199124366045e-07
3,4.0,1.598899834789336e-05,5.1802024245262144e-06,1.829990651458502e-07
4,5.0,1.6456999583169817e-05,5.2941963076591495e-06,2.4859909899532793e-07
5,6.0,3.286479623056948e-05,8.12159851193428e-06,2.7759815566241743e-07
6,7.0,1.8588401144370436e-05,5.701405461877584e-06,3.2180105336010456e-07
7,8.0,1.9586796406656502e-05,5.995598621666432e-06,3.5160337574779987e-07
8,9.0,2.1226203534752132e-05,5.929399048909545e-06,4.32401429861784e-07
9,10.0,3.8228998892009256e-05,8.331798017024995e-06,5.027977749705315e-07
10,11.0,2.4597003357484936e-05,6.111798575147986e-06,5.505979061126709e-07
11,12.0,2.6765000075101853e-05,6.020802538841963e-06,6.287998985499144e-07
12,13.0,2.8968998230993746e-05,6.2207982409745455e-06,6.927992217242718e-07
13,14.0,2.9430200811475515e-05,6.493000546470284e-06,7.547962013632059e-07
14,15.0,3.233040333725512e-05,6.237399065867066e-06,7.998023647814989e-07
15,16.0,3.5296002170071e-05,6.441399455070495e-06,9.19797457754612e-07
16,17.0,3.6325398832559584e-05,6.610201671719551e-06,1.024198718369007e-06
17,18.0,3.847359912469983e-05,6.368599133566022e-06,1.1233962140977382e-06
18,19.0,4.1356601286679506e-05,6.8199995439499615e-06,1.231400528922677e-06
19,20.0,4.378160228952765e-05,6.7413959186524154e-06,1.2772041372954846e-06
20,21.0,4.564059781841934e-05,6.7382003180682656e-06,1.3614015188068152e-06
21,22.0,4.894720041193068e-05,6.718200165778399e-06,1.474795863032341e-06
22,23.0,5.156699917279184e-05,6.754399510100484e-06,1.5922007150948047e-06
23,24.0,5.486499867402017e-05,7.162598194554448e-06,1.715001417323947e-06
24,25.0,6.0928997118026015e-05,7.1282032877206806e-06,1.8534017726778984e-06
25,26.0,6.184419617056846e-05,7.544195977970958e-06,2.0078034140169622e-06
26,27.0,6.473340326920151e-05,7.479597115889192e-06,2.1024025045335293e-06
27,28.0,7.03668047208339e-05,8.131598588079213e-06,2.2198015358299018e-06
28,29.0,7.065379759296775e-05,7.891602581366897e-06,2.330797724425793e-06
29,30.0,7.639859686605632e-05,8.15759995020926e-06,2.4545995984226464e-06
30,31.0,8.005740237422287e-05,8.164200698956847e-06,2.669199602678418e-06
31,32.0,8.335799793712795e-05,8.392997551709414e-06,2.803996903821826e-06
32,33.0,9.078919538296759e-05,8.541997522115707e-06,3.0755996704101563e-06
33,34.0,9.431379730813205e-05,9.19399899430573e-06,3.2029987778514623e-06
34,35.0,9.667379781603813e-05,9.75540024228394e-06,3.4140015486627816e-06
35,36.0,0.00010006420197896659,9.290000889450312e-06,3.4743978176265953e-06
36,37.0,0.00010439440375193953,9.58839664235711e-06,3.641605144366622e-06
37,38.0,0.00010916680330410599,9.827001485973597e-06,3.801001003012061e-06
38,39.0,0.0001133590005338192,9.973201667889952e-06,3.978400491178035e-06
39,40.0,0.00011797260376624762,1.0135001502931118e-05,4.203000571578741e-06
40,41.0,0.0001270728011149913,1.0342797031626105e-05,4.34099929407239e-06
41,42.0,0.000131466198945418,1.049180282279849e-05,4.540401278063655e-06
42,43.0,0.00013770780060440302,1.0946003021672368e-05,4.761200398206711e-06
43,44.0,0.00013738159905187785,1.1050998000428081e-05,4.960602382197976e-06
44,45.0,0.00014189599896781148,1.1593603994697333e-05,5.15900319442153e-06
45,46.0,0.00014607459888793528,1.1717999586835504e-05,5.297601455822587e-06
46,47.0,0.00015311859897337854,1.2452801456674933e-05,5.607400089502334e-06
47,48.0,0.00016076539759524167,1.2651999713853002e-05,5.892798071727157e-06
48,49.0,0.00017207260243594645,1.3141799718141555e-05,6.066204514354468e-06
49,50.0,0.0001701164001133293,1.3188598677515983e-05,6.287399446591735e-06
50,51.0,0.00018096680287271738,1.3434799620881677e-05,6.532599218189716e-06
51,52.0,0.00018136019934900105,1.3760803267359733e-05,6.7273969762027265e-06
52,53.0,0.00018655660096555948,1.3912597205489874e-05,6.934796692803502e-06
53,54.0,0.00019941679784096777,1.4372600708156824e-05,7.218396058306098e-06
54,55.0,0.00020331020350567998,1.4670402742922306e-05,7.466401439160109e-06
55,56.0,0.00021246739779599011,1.4781195204705e-05,7.759197615087032e-06
56,57.0,0.00021231700084172188,1.54022010974586e-05,8.001597598195076e-06
57,58.0,0.00022484759683720766,1.561699900776148e-05,8.257600711658597e-06
58,59.0,0.0002264189999550581,1.5893799718469383e-05,8.599803550168872e-06
59,60.0,0.00023830640129745005,1.6332202358171342e-05,8.860800880938768e-06
60,61.0,0.0002447232021950185,1.6934605082497e-05,9.098200825974345e-06
61,62.0,0.00024555279524065556,1.723460154607892e-05,9.406404569745063e-06
62,63.0,0.00025363520253449676,1.757199643179774e-05,9.698403300717472e-06
63,64.0,0.00026020359946414827,1.804840285331011e-05,1.0059797205030918e-05
64,65.0,0.00026818119804374876,1.8271396402269602e-05,1.0324397590011358e-05
65,66.0,0.0002727741957642138,1.8729397561401127e-05,1.062759547494352e-05
66,67.0,0.000294623599620536,2.1153001580387353e-05,1.1353398440405726e-05
67,68.0,0.00030352339963428675,2.0231399685144424e-05,1.1333799920976163e-05
